"Category_TX","Subject_TX","Class_TX","Type_TX","Name_TX","Version_DC","Alias_TX","Desc_TX","Usage_TX","Comment_TX"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Assoc.P_Category_TX",1,"P_Category_TX","This field contains the name of the parent category.","Maintained by the administrator to define what relationships between objects can be added by a user..","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Assoc.P_Subject_TX",1,"P_Subject_TX","This field contains the name of the parent subject.","Maintained by the administrator to define what relationships between objects can be added by a user..","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Assoc.P_Class_TX",1,"P_Class_TX","This field contains the name of the parent class.","Maintained by the administrator to define what relationships between objects can be added by a user..","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Assoc.C_Category_TX",1,"C_Category_TX","This field contains the name of the child category.","Maintained by the administrator to define what relationships between objects can be added by a user..","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Assoc.C_Subject_TX",1,"C_Subject_TX","This field contains the name of the child subject.","Maintained by the administrator to define what relationships between objects can be added by a user..","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Assoc.C_Class_TX",1,"C_Class_TX","This field contains the name of the child class.","Maintained by the administrator to define what relationships between objects can be added by a user..","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Assoc.Assoc_Rule_TX",1,"Assoc_Rule_TX","This field is for future use.","This field is for future use.","This field is for future use."
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Assoc.Creator_ID",1,"Creator_ID","The user id of the person or process that created this record.","Not defined","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Assoc.Created_DS",1,"Created_DS","The date and time that this record was created.","Not defined","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Assoc.Changer_ID",1,"Changer_ID","The user id of the person or process that changed this record.","Not defined","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Assoc.Changed_DS",1,"Changed_DS","The date and time that this record was changed.","Not defined","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Assoc.Status_CD",1,"Status_CD","The status field contains the status of the record.","The status of a record is generally active but can be set to inactive or a number of other states as required by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Prop.ROWID",1,"ROWID","Primary Key (PK) of the property table. This field contains an internal database key","Integer number that is automatically incremented for each inserted record.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Prop.Category_TX",1,"Category_TX","This field contains the name of the category.","This field is maintained by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Prop.Subject_TX",1,"Subject_TX","This field contains the name of the subject.","This field is maintained by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Prop.Class_TX",1,"Class_TX","This field contains the name of the class.","This field is maintained by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Prop.Property_TX",1,"Property_TX","Name of the property.","Maintained by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Prop.Datatype_CD",1,"Datatype_CD","This field contains the data type of the property.","Maintained by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Prop.Length_IN",1,"Length_IN","Maximum length of the property in integer numbers.","Maintained by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Prop.Default_TX",1,"Default_TX","This field contains the default value to be assigned to any new property.","Maintained by the administrator.","This field is for future use."
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Prop.Rule_TX",1,"Rule_TX","This field is for future use.","This field is for future use.","This field is for future use."
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Prop.Creator_ID",1,"Creator_ID","The user id of the person or process that created this record.","Not defined","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Prop.Created_DS",1,"Created_DS","The date and time that this record was created.","Not defined","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Prop.Changer_ID",1,"Changer_ID","The user id of the person or process that changed this record.","Not defined","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Prop.Changed_DS",1,"Changed_DS","The date and time that this record was last changed.","Not defined","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Prop.Status_CD",1,"Status_CD","The status field contains the status of the record.","The status of a record is generally active but can be set to inactive or a number of other states as required by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Event.ROWID",1,"ROWID","Primary Key (PK) of the event table. This field contains an internal database key","Integer number that is automatically incremented for each inserted record.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Event.User_ID",1,"User_ID","This field contains the login user id of the user.","Not defined","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Event.Event_CD",1,"Event_CD","The name of the event that is be tracked.","Not defined","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Event.Remote_IP_Addr_TX",1,"Remote_IP_Addr_TX","IP Address of the user.","Not defined","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Event.Remote_Agent",1,"Remote_Agent","Type and version of the browser being used by the user.","Not defined","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Event.Event_TX",1,"Event_TX","This field stores data specific to an event.","If the event code in LOGIN this field will store type of login if it is different  to standard. If the event code in FAILURE (login failure) this field will store the user id and password used. ","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Event.Created_DS",1,"Created_DS","The date and time that this record was created.","Not defined","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Config.Config_ID",1,"Config_ID","Primary Key (PK) for the configuration table.","Set to DEFAULT","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Config.Color_Bkg_HX",1,"Color_Bkg_HX","This field stores the value of the HTML background color used on SuperLuminate pages. ","Maintained by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Config.Color_Msg_HX",1,"Color_Msg_HX","This field stores the value of the HTML color used when displaying messages at the top of  SuperLuminate pages. ","Maintained by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Config.Logo_Primary_TX",1,"Logo_Primary_TX","This field stores the name of the logo to be displayed on SuperLuminate pages. ","Maintained by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Config.Read_Only_FL",1,"Read_Only_FL","This field stores a flag (Y or N) to indicate if SuperLuminate will accept read only users.","Maintained by the administrator.","A read only user does not need to have a user id or password to log into SuperLuminate."
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Config.Max_Rows_IN",1,"Max_Rows_IN","This field stores an integer number indicating the maximum number of rows that can be brought back for any select query from the database.","Maintained by the administrator. Default setting is 2000.","This value can be increased or decreased depending on server and database performance."
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Config.Attr_01_TX",1,"Attr_01_TX","This field is a flex field -- has been assigned to contain the administration message displayed on the login page.","Maintained by the administrator.","Flex fields are added to the database so application logic can change without impacting the database structure."
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Config.Attr_02_TX",1,"Attr_02_TX","This field is a flex field -- has been assigned to contain a flag (Y or N) to indicate if users can use freehand SQL selects on the [Reports] page.","Maintained by the administrator.","The freehand SQL window on the [reports] page is not enabled for read only user. If flag is Y users can create select statements but no other type of SQL. The administrator (admin) can use any type of SQL via this window."
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Config.Attr_03_TX",1,"Attr_03_TX","This field is a flex field -- has been assigned to contain the file path to the filestore folder containing all of the load and backup files.","Maintained by the administrator.","Flex fields are added to the database so application logic can change without impacting the database structure."
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Config.Attr_04_TX",1,"Attr_04_TX","This field is a flex field -- has been assigned to contain a flag (Y or N) to indicate if SuperLuminate Lite can be used to access the SuperLuminate database.","Maintained by the administrator.","SuperLuminate Lite is read only. A read only user does not need to have a user id or password to log into SuperLuminate. SuperLuminate Lite will allow and user to access glossary terms from the database using a easy to use version of the SuperLuminate application."
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Config.Attr_05_TX",1,"Attr_05_TX","This field is a flex field -- has been assigned to contain the file path to the MySQL program files (binaries) used to backup and restore the database.","Maintained by the administrator.","Flex fields are added to the database so application logic can change without impacting the database structure."
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Config.Attr_06_TX",1,"Attr_06_TX","This field is a flex field that can be assigned to store information for any future purpose.","This field is for future use.","Flex fields are added to the database so application logic can change without impacting the database structure."
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Config.Attr_07_TX",1,"Attr_07_TX","This field is a flex field that can be assigned to store information for any future purpose.","This field is for future use.","Flex fields are added to the database so application logic can change without impacting the database structure."
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Config.Attr_08_TX",1,"Attr_08_TX","This field is a flex field that can be assigned to store information for any future purpose.","This field is for future use.","Flex fields are added to the database so application logic can change without impacting the database structure."
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Config.Attr_09_TX",1,"Attr_09_TX","This field is a flex field that can be assigned to store information for any future purpose.","This field is for future use.","Flex fields are added to the database so application logic can change without impacting the database structure."
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Config.Attr_10_TX",1,"Attr_10_TX","This field is a flex field that can be assigned to store information for any future purpose.","This field is for future use.","Flex fields are added to the database so application logic can change without impacting the database structure."
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Config.Creator_ID",1,"Creator_ID","The user id of the person or process that created this record.","Not defined","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Config.Created_DS",1,"Created_DS","The date and time that this record was created.","Not defined","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Config.Changer_ID",1,"Changer_ID","The user id of the person or process that changed this record.","Not defined","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Config.Changed_DS",1,"Changed_DS","The date and time that this record was last changed.","Not defined","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Config.Status_CD",1,"Status_CD","The status field contains the status of the record.","The status of a record is generally active but can be set to inactive or a number of other states as required by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Attr.SL_Object_FK",1,"SL_Object_FK","Foreign Key (FK) to the object table.","Used to link to the object table.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Attr.Category_TX",1,"Category_TX","This field contains the name of the category.","This field is automatically populated from the values in the object record when an attribute record is inserted.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Attr.Subject_TX",1,"Subject_TX","This field contains the name of the subject.","This field is automatically populated from the values in the object record when an attribute record is inserted.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Attr.Class_TX",1,"Class_TX","This field contains the name of the class.","This field is automatically populated from the values in the object record when an attribute record is inserted.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Attr.Type_TX",1,"Type_TX","This field contains the name of the type.","This field is automatically populated from the values in the object record when an attribute record is inserted.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Attr.Name_TX",1,"Name_TX","This field contains the name of the object.","This field is automatically populated from the values in the object record when an attribute record is inserted.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Attr.Version_DC",1,"Version_DC","This field contains the version of the object.","This field is automatically populated from the values in the object record when an attribute record is inserted.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Attr.Property_TX",1,"Property_TX","This field contains the name of the property.","This field is automatically populated when an attribute record is inserted. The values for this field are defined in the property table","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Attr.Value_TX",1,"Value_TX","This field contains the value of the property.","This field value is maintained by the user.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_User.User_ID",1,"User_ID","This field contains a login User id that uniquely identifies a user of SuperLuminate.","Not defined","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_User.User_Type_CD",1,"User_Type_CD","This field defines the type of user.","Currently users are of type admin or user.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_User.Password_TX",1,"Password_TX","This field contains the users login password.","This filed is encrypted using MD5 encryption.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_User.First_Name_TX",1,"First_Name_TX","This field contains the users first name.","Maintained by the administrator or user.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_User.Last_Name_TX",1,"Last_Name_TX","This field contains the users last name.","Maintained by the administrator or user.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_User.Title_TX",1,"Title_TX","This field contains the users title.","Maintained by the administrator or user.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_User.Email_Addr_TX",1,"Email_Addr_TX","This field contains the users email address.","Maintained by the administrator or user.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_User.Phone_TX",1,"Phone_TX","This field contains the users phone number.","Maintained by the administrator or user.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_User.Company_TX",1,"Company_TX","This field contains the users company name.","Maintained by the administrator or user.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_User.Dept_TX",1,"Dept_TX","This field contains the users department name.","Maintained by the administrator or user.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_User.URL_TX",1,"URL_TX","This field contains the URL of the users company.","Maintained by the administrator or user.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_User.Release_CD",1,"Release_CD","This field defines if a user wishes to receive email notification of new releases.","Maintained by the administrator or user.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_User.Newsletter_CD",1,"Newsletter_CD","This field defines if a user wishes to receive newsletters email.","Maintained by the administrator or user.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_User.Creator_ID",1,"Creator_ID","The user id of the person or process that created this record.","Not defined","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_User.Created_DS",1,"Created_DS","The date and time that this record was created.","Not defined","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_User.Changer_ID",1,"Changer_ID","The user id of the person or process that changed this record.","Not defined","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_User.Changed_DS",1,"Changed_DS","The date and time that this record was last changed.","Not defined","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_User.Status_CD",1,"Status_CD","The status field contains the status of the record.","The status of a record is generally active but can be set to inactive or a number of other states as required by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Rel.P_SL_Object_FK",1,"P_SL_Object_FK","Foreign Key (FK) to the category table.","Used to link to the parent category record in the category table.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Rel.P_Category_TX",1,"P_Category_TX","This field contains the name of the parent category.","When a relationship is created by the user this field is maintained automatically.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Rel.P_Subject_TX",1,"P_Subject_TX","This field contains the name of the parent subject.","When a relationship is created by the user this field is maintained automatically.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Rel.P_Class_TX",1,"P_Class_TX","This field contains the name of the parent class.","When a relationship is created by the user this field is maintained automatically.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Rel.P_Type_TX",1,"P_Type_TX","This field contains the name of the parent type.","When a relationship is created by the user this field is maintained automatically.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Rel.P_Name_TX",1,"P_Name_TX","This field contains the name of the parent object record.","When a relationship is created by the user this field is maintained automatically.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Rel.P_Version_DC",1,"P_Version_DC","This field contains the version of the parent object record.","When a relationship is created by the user this field is maintained automatically.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Rel.C_SL_Object_FK",1,"C_SL_Object_FK","Foreign Key (FK) to the category table.","Used to link to the parent category record in the category table.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Rel.C_Category_TX",1,"C_Category_TX","This field contains the name of the child category.","When a relationship is created by the user this field is maintained automatically.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Rel.C_Subject_TX",1,"C_Subject_TX","This field contains the name of the child subject.","When a relationship is created by the user this field is maintained automatically.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Rel.C_Class_TX",1,"C_Class_TX","This field contains the name of the child class.","When a relationship is created by the user this field is maintained automatically.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Rel.C_Type_TX",1,"C_Type_TX","This field contains the name of the child type.","When a relationship is created by the user this field is maintained automatically.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Rel.C_Name_TX",1,"C_Name_TX","This field contains the name of the child object record.","When a relationship is created by the user this field is maintained automatically.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Rel.C_Version_DC",1,"C_Version_DC","This field contains the version of the child object record.","When a relationship is created by the user this field is maintained automatically.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Rel.Creator_ID",1,"Creator_ID","The user id of the person or process that created this record.","Not defined","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Rel.Created_DS",1,"Created_DS","The date and time that this record was created.","Not defined","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Rel.Changer_ID",1,"Changer_ID","The user id of the person or process that changed this record.","Not defined","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Rel.Changed_DS",1,"Changed_DS","The date and time that this record was last changed.","Not defined","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Rel.Status_CD",1,"Status_CD","The status field contains the status of the record.","The status of a record is generally active but can be set to inactive or a number of other states as required by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Object.ROWID",1,"ROWID","Primary Key (PK) of the object table. This field contains an internal database key","Integer number that is automatically incremented for each inserted record.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Object.Category_TX",1,"Category_TX","This field contains the name of the category.","This name is maintained by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Object.Subject_TX",1,"Subject_TX","This field contains the name of the subject.","This name is maintained by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Object.Class_TX",1,"Class_TX","This field contains the name of the class.","This name is maintained by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Object.Type_TX",1,"Type_TX","This field contains the name of the type.","This name is maintained by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Object.Name_TX",1,"Name_TX","This field contains the name of the object.","This field is maintained by the user.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Object.Version_DC",1,"Version_DC","This field contains the version of the object.","The version is maintained by the user.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Object.Alias_TX",1,"Alias_TX","This field contains an alias name for the object.","This field is maintained by the user.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Object.Desc_TX",1,"Desc_TX","This field contains the description of the object.","This field is maintained by the user.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Object.Usage_TX",1,"Usage_TX","This field contains the definition for how the object is used and or maintained.","This field is maintained by the user.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Object.Comment_TX",1,"Comment_TX","Any extra comments about the object.","This field is maintained by the user.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Object.Group_CD",1,"Group_CD","This field defines the user group that the object record belong to.","Currently there are only two groups implemented -- General = All can see the record -- Private = only the record creator and the administrator can see the record.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Object.Source_ID",1,"Source_ID","This field contains the name of the data source.","This field is null unless the data was entered via the data loader.","Other source type will be added in the future."
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Object.Creator_ID",1,"Creator_ID","The user id of the person or process that created this record.","Not defined","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Object.Created_DS",1,"Created_DS","The date and time that this record was created.","Not defined","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Object.Changer_ID",1,"Changer_ID","The user id of the person or process that changed this record.","Not defined","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Object.Changed_DS",1,"Changed_DS","The date and time that this record was last changed.","Not defined","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Object.Status_CD",1,"Status_CD","The status field contains the status of the record.","The status of a record is generally active but can be set to inactive or a number of other states as required by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Category.Category_ID",1,"Category_ID","Primary Key (PK) of the category table.","Used to uniquely identify a category record.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Category.Category_TX",1,"Category_TX","This field contains the name of the category.","Maintained by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Category.Creator_ID",1,"Creator_ID","The user id of the person or process that created this record.","Maintained by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Category.Created_DS",1,"Created_DS","The date and time that this record was created.","Maintained by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Category.Changer_ID",1,"Changer_ID","The user id of the person or process that changed this record.","Maintained by the administrator.","No comment"
